as_of,strike,call_oi,put_oi,call_delta,put_delta,call_volume,put_volume
2026-05-26,1185,8200,35100,410,1840,3210,8420
2026-05-26,1190,10400,38900,620,2110,4180,9160
2026-05-26,1195,12800,42300,780,2660,4620,10340
2026-05-26,1200,16600,51400,1260,3920,6230,11880
2026-05-26,1205,21400,46300,1880,3010,7280,9710
2026-05-26,1210,26400,38200,2380,1880,8450,7420
2026-05-26,1215,33800,27400,3420,620,10320,5840
2026-05-26,1220,42700,21800,4820,-240,12840,4620
2026-05-26,1225,51600,16600,5660,-820,14320,3620
2026-05-26,1230,60200,12100,6420,-1140,15680,2810
2026-05-26,1235,48800,9300,2840,-980,11740,2140
2026-05-26,1240,68400,7600,8120,-620,16920,1680
2026-05-26,1245,33200,5200,1480,-420,8240,1040
2026-05-26,1250,24600,4100,920,-260,6420,820
